Year,Rainfall
1970,52633
1971,43442
1972,32020
1973,49026
1974,57175
1975,45858
1976,53267
1977,67307
1978,59604
1979,50683
1980,54756
1981,67081
1982,68380
1983,82382
1984,82253
1985,67593
1986,75435
1987,83263
1988,86907
1989,66853
1990,81659
1991,90562
1992,59960
1993,86933
1994,63929
1995,74919
1996,72473
1997,73095
1998,87036
1999,85440
2000,86888
2001,83039
2002,88687
2003,70821
2004,86748
2005,83008
2006,68998
2007,89854
2008,79942
2009,74746
2010,72603
2011,83828
2012,77678
2013,77585
2014,69462
2015,94110
2016,76218
